season,competition,round,team_a,country_a,team_b,country_b,score_leg1,score_leg2,score_aggregate,extra_time,penalties
1978/79,CL,Qualifying Round,AS Monaco,Fra,Steaua Bucuresti,Rom,3-0,0-2,3-2,no,no
1978/79,CL,Round 1,Nottingham Forest,Eng,Liverpool,Eng,2-0,0-0,2-0,no,no
1978/79,CL,Round 1,Juventus,Ita,Glasgow Rangers,Sco,1-0,0-2,1-2,no,no
1978/79,CL,Round 1,Linfield Belfast,Nir,Lillestrøm SK,Nor,0-0,0-1,0-1,no,no
1978/79,CL,Round 1,Real Madrid,Esp,Progrès Niederkorn,Lux,5-0,7-0,12-0,no,no
1978/79,CL,Round 1,AEK Athens,Gre,FC Porto,Por,6-1,1-4,7-5,no,no
1978/79,CL,Round 1,Fenerbahçe,Tur,PSV Eindhoven,Ned,2-1,1-6,3-7,no,no
1978/79,CL,Round 1,Vllaznia Shkodër,Alb,Austria Wien,Aut,2-0,1-4,3-4,no,no
1978/79,CL,Round 1,Malmö FF,Swe,AS Monaco,Fra,0-0,1-0,1-0,no,no
1978/79,CL,Round 1,1.FC Köln,Ger,IA Akranes,Isl,4-1,1-1,5-2,no,no
1978/79,CL,Round 1,Zbrojovka Brno,TCH,Újpest Dózsa,Hun,2-2,2-0,4-2,no,no
1978/79,CL,Round 1,Partizan Belgrade,YUG,Dynamo Dresden,GDR,2-0,0-2,2-2,no,no
1978/79,CL,Round 1,Grasshoppers Zürich,Sui,Valletta FC,Mlt,8-0,5-3,13-3,no,no
1978/79,CL,Round 1,Club Brugge,Bel,Wisla Kraków,Pol,2-1,1-3,3-4,no,no
1978/79,CL,Round 1,OB Odense,Den,Lokomotiv Sofia,Bul,2-2,1-2,3-4,no,no
1978/79,CL,Round 1,Haka Valkeakoski,Fin,Dinamo Kiev,URS,0-1,1-3,1-4,no,no
1978/79,CL,Round 1,Omonia Nicosia,Cyp,Bohemians Dublin,Irl,2-1,0-1,2-2,no,no
1978/79,CL,Round 2,AEK Athens,Gre,Nottingham Forest,Eng,1-2,1-5,2-7,no,no
1978/79,CL,Round 2,Glasgow Rangers,Sco,PSV Eindhoven,Ned,0-0,3-2,3-2,no,no
1978/79,CL,Round 2,Real Madrid,Esp,Grasshoppers Zürich,Sui,3-1,0-2,3-3,no,no
1978/79,CL,Round 2,Dinamo Kiev,URS,Malmö FF,Swe,0-0,0-2,0-2,no,no
1978/79,CL,Round 2,Lokomotiv Sofia,Bul,1.FC Köln,Ger,0-1,0-4,0-5,no,no
1978/79,CL,Round 2,Bohemians Dublin,Irl,Dynamo Dresden,GDR,0-0,0-6,0-6,no,no
1978/79,CL,Round 2,Austria Wien,Aut,Lillestrøm SK,Nor,4-1,0-0,4-1,no,no
1978/79,CL,Round 2,Zbrojovka Brno,TCH,Wisla Kraków,Pol,2-2,1-1,3-3,no,no
1978/79,CL,Quarter Finals,Nottingham Forest,Eng,Grasshoppers Zürich,Sui,4-1,1-1,5-2,no,no
1978/79,CL,Quarter Finals,1.FC Köln,Ger,Glasgow Rangers,Sco,1-0,1-1,2-1,no,no
1978/79,CL,Quarter Finals,Wisla Kraków,Pol,Malmö FF,Swe,2-1,1-4,3-5,no,no
1978/79,CL,Quarter Finals,Austria Wien,Aut,Dynamo Dresden,GDR,3-1,0-1,3-2,no,no
1978/79,CL,Semi Finals,Nottingham Forest,Eng,1.FC Köln,Ger,3-3,1-0,4-3,no,no
1978/79,CL,Semi Finals,Austria Wien,Aut,Malmö FF,Swe,0-0,0-1,0-1,no,no
