season,competition,round,team_a,country_a,team_b,country_b,score_leg1,score_leg2,score_aggregate,extra_time,penalties
1979/80,CL,Qualifying Round,Dundalk,Irl,Linfield Belfast,Nir,1-1,2-0,3-1,no,no
1979/80,CL,Round 1,Liverpool,Eng,Dinamo Tbilisi,URS,2-1,0-3,2-4,no,no
1979/80,CL,Round 1,Nottingham Forest,Eng,Östers IF,Swe,2-0,1-1,3-1,no,no
1979/80,CL,Round 1,Partizani Tirana,Alb,Celtic,Sco,1-0,1-4,2-4,no,no
1979/80,CL,Round 1,Dundalk,Irl,Hibernians FC,Mlt,2-0,0-1,2-1,no,no
1979/80,CL,Round 1,Levski-Spartak Sofia,Bul,Real Madrid,Esp,0-1,0-2,0-3,no,no
1979/80,CL,Round 1,Arges Pitesti,Rom,AEK Athens,Gre,3-0,0-2,3-2,no,no
1979/80,CL,Round 1,Start Kristiansand,Nor,RC Strasbourg,Fra,1-2,0-4,1-6,no,no
1979/80,CL,Round 1,BFC Dynamo Berlin,GDR,Ruch Chorzow,Pol,4-1,0-0,4-1,no,no
1979/80,CL,Round 1,Újpest Dózsa,Hun,Dukla Praha,TCH,3-2,0-2,3-4,no,no
1979/80,CL,Round 1,Red Boys Differdange,Lux,Omonia Nicosia,Cyp,2-1,1-6,3-7,no,no
1979/80,CL,Round 1,HJK Helsinki,Fin,Ajax,Ned,1-8,1-8,2-16,no,no
1979/80,CL,Round 1,Valur Reykjavik,Isl,Hamburger SV,Ger,0-3,1-2,1-5,no,no
1979/80,CL,Round 1,Hajduk Split,YUG,Trabzonspor,Tur,1-0,1-0,2-0,no,no
1979/80,CL,Round 1,Vejle BK,Den,Austria Wien,Aut,3-2,1-1,4-3,no,no
1979/80,CL,Round 1,FC Porto,Por,AC Milan,Ita,0-0,1-0,1-0,no,no
1979/80,CL,Round 1,Servette FC Genève,Sui,SK Beveren,Bel,3-1,1-1,4-2,no,no
1979/80,CL,Round 2,Nottingham Forest,Eng,Arges Pitesti,Rom,2-0,2-1,4-1,no,no
1979/80,CL,Round 2,Celtic,Sco,Dundalk,Irl,3-2,0-0,3-2,no,no
1979/80,CL,Round 2,BFC Dynamo Berlin,GDR,Servette FC Genève,Sui,2-1,2-2,4-3,no,no
1979/80,CL,Round 2,Dukla Praha,TCH,RC Strasbourg,Fra,1-0,0-2,1-2,no,no
1979/80,CL,Round 2,Hamburger SV,Ger,Dinamo Tbilisi,URS,3-1,3-2,6-3,no,no
1979/80,CL,Round 2,Vejle BK,Den,Hajduk Split,YUG,0-3,2-1,2-4,no,no
1979/80,CL,Round 2,Ajax,Ned,Omonia Nicosia,Cyp,10-0,0-4,10-4,no,no
1979/80,CL,Round 2,FC Porto,Por,Real Madrid,Esp,2-1,0-1,2-2,no,no
1979/80,CL,Quarter Finals,Nottingham Forest,Eng,BFC Dynamo Berlin,GDR,0-1,3-1,3-2,no,no
